POS,Player,Team,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
43,Ishan Kishan,MI,91,85,6,2324,99,29.42,1731,134.26,0,15,220,103
44,Hardik Pandya,GT,123,115,39,2309,91,30.38,1583,145.86,0,10,172,125
45,Andre Russell,KKR,112,96,18,2262,88*,29,1300,174,0,10,150,193
46,Rahul Dravid,RR,89,82,5,2174,75,28.23,1882,115.52,0,11,269,28
47,Kane Williamson,GT,77,75,17,2101,89,36.22,1667,126.03,0,18,182,64
48,Aaron Finch,KKR,92,90,7,2091,88*,25.19,1631,128.2,0,15,214,78
49,Rahul Tripathi,SRH,89,87,11,2071,93,27.25,1490,138.99,0,11,205,78
50,Adam Gilchrist,PBKS,80,80,4,2069,109,27.22,1495,138.39,2,11,239,92
51,JP Duminy,MI,83,77,26,2029,78,39.78,1636,124.02,0,14,126,79
52,Michael Hussey,CSK,59,58,7,1977,116,38.76,1612,122.64,1,15,198,52
53,Mahela Jayawardena,DC,80,78,15,1802,110,28.6,1462,123.26,1,10,200,39
54,Ruturaj Gaikwad,CSK,52,51,5,1797,101*,39.07,1326,135.52,1,14,159,73
55,Mandeep Singh,KKR,111,98,16,1706,77*,20.8,1377,123.89,0,6,175,38
56,Prithvi Shaw,DC,71,71,0,1694,99,23.86,1162,145.78,0,13,208,56
57,Kumar Sangakkara,SRH,71,68,3,1687,94,25.95,1392,121.19,0,10,195,27
58,Manoj Tiwary,PBKS,96,84,26,1686,75,29.07,1436,117.41,0,7,155,40
59,Dwayne Bravo,CSK,161,113,44,1560,70*,22.61,1204,129.57,0,5,120,66
60,Naman Ojha,DC,113,94,19,1554,94,20.72,1313,118.35,0,6,121,79
61,Devdutt Padikkal,RR,57,57,2,1521,101*,27.65,1213,125.39,1,9,166,42
62,Krunal Pandya,LSG,113,99,30,1514,86,21.94,1135,133.39,0,1,136,56
63,Karun Nair,RR,76,68,5,1496,83*,23.75,1171,127.75,0,10,161,39
64,Saurabh Tiwary,MI,93,73,21,1494,61,28.73,1244,120.1,0,8,111,50
65,Marcus Stoinis,LSG,82,74,20,1478,89*,27.37,1051,140.63,0,7,111,75
66,Subramaniam Badrinath,CSK,95,67,20,1441,71,30.66,1212,118.89,0,11,154,28
67,Axar Patel,DC,136,101,32,1418,54,20.55,1084,130.81,0,1,88,69
68,Eoin Morgan,KKR,83,75,13,1405,68*,22.66,1146,122.6,0,5,112,64
69,Brad Hodge,RR,66,63,21,1400,73,33.33,1118,125.22,0,6,122,43
70,Sourav Ganguly,PWI,59,56,3,1349,91,25.45,1263,106.81,0,7,137,42
71,Chris Lynn,MI,42,42,3,1329,93*,34.08,945,140.63,0,10,132,66
72,David Hussey,CSK,64,61,12,1322,71,26.98,1075,122.98,0,5,90,60
73,Deepak Hooda,LSG,107,87,15,1320,64,18.33,1026,128.65,0,7,80,58
74,Jonny Bairstow,PBKS,39,39,3,1291,114,35.86,905,142.65,1,9,133,55
75,Nicholas Pooran,LSG,62,59,12,1270,77,27.02,810,156.79,0,6,78,91
76,Kedar Jadhav,RCB,95,81,27,1208,69,22.37,981,123.14,0,4,102,40
77,Yashasvi Jaiswal,RR,37,37,1,1172,124,32.56,788,148.73,1,8,144,48
78,Irfan Pathan,GL,103,82,29,1139,60,21.49,946,120.4,0,1,87,37
79,Shimron Hetmyer,RR,60,57,22,1131,75,32.31,743,152.22,0,4,67,75
80,Matthew Hayden,CSK,32,32,2,1107,93,36.9,805,137.52,0,8,121,44
81,Shivam Dube,CSK,51,47,8,1106,95*,28.36,780,141.79,0,6,58,73
82,Manan Vohra,LSG,56,51,2,1083,95,22.1,829,130.64,0,3,104,43
83,Lendl Simmons,MI,29,29,2,1079,100*,39.96,852,126.64,1,11,109,44
84,Sunil Narine,KKR,162,96,20,1046,75,13.76,655,159.69,0,4,114,64
85,Moeen Ali,CSK,59,52,6,1034,93,22.48,723,143.02,0,5,88,59
86,Vijay Shankar,GT,65,53,14,1032,63*,26.46,787,131.13,0,6,73,43
87,Ross Taylor,DC,55,54,14,1017,81*,25.43,822,123.72,0,3,66,46
88,Kevin Pietersen,RPS,36,36,9,1001,103,37.07,743,134.72,1,4,91,40
89,Moises Henriques,PBKS,62,54,18,1000,74*,27.78,788,126.9,0,5,87,28
90,Venugopal Rao,SRH,64,54,10,985,71,22.39,836,117.82,0,3,77,37
91,Albie Morkel,RPS,91,68,28,974,73*,24.35,686,141.98,0,3,61,55
92,Andrew Symonds,MI,39,36,9,974,117,36.07,750,129.87,1,5,74,41
93,Venkatesh Iyer,KKR,36,36,2,956,104,28.12,734,130.25,1,7,86,42
94,Cameron White,SRH,47,45,9,954,78,26.5,755,126.36,0,6,76,36
95,Ben Stokes,CSK,45,44,6,935,107*,24.61,698,133.95,2,2,81,32
96,Devon Conway,CSK,23,22,3,924,92*,48.63,654,141.28,0,9,99,30
97,Abhishek Sharma,SRH,47,45,6,893,75,22.9,650,137.38,0,4,92,31
98,Herschelle Gibbs,MI,36,36,4,886,69*,27.69,807,109.79,0,6,83,31
99,Stuart Binny,RR,95,68,23,880,48*,19.56,683,128.84,0,0,66,35
100,Harbhajan Singh,KKR,163,90,37,833,64,15.72,604,137.91,0,1,79,42
101,Liam Livingstone,PBKS,32,32,4,828,94,29.57,500,165.6,0,6,58,59
102,Rahul Tewatia,GT,81,56,23,825,53,25,623,132.42,0,1,60,42
103,Manvinder Bisla,RCB,39,39,1,798,92,21,702,113.68,0,4,93,23
104,Shakib Al Hasan,KKR,71,52,12,793,66*,19.83,637,124.49,0,2,73,21
105,Aiden Markram,SRH,33,31,7,775,68*,32.29,590,131.36,0,4,55,31
106,Sanath Jayasuriya,MI,30,30,2,772,114,27.57,532,145.11,1,4,85,39
107,Tilak Varma,MI,25,25,6,740,84*,38.95,512,144.53,0,3,55,39
108,Graeme Smith,PWI,29,29,3,739,91,28.42,668,110.63,0,4,94,9
109,Tillakaratne Dilshan,RCB,38,37,4,735,76*,22.27,666,110.36,0,5,98,11
110,Rinku Singh,KKR,31,29,9,725,67*,36.25,510,142.16,0,4,54,38
111,Angelo Mathews,DC,49,42,11,724,65*,23.35,575,125.91,0,1,44,29
112,Ravichandran Ashwin,RR,197,85,31,714,50,13.22,601,118.8,0,1,56,24
113,Tirumalasetti Suman,PWI,43,40,8,676,78,21.13,575,117.57,0,2,55,26
114,Abhishek Nayar,RR,60,50,12,672,45,17.68,577,116.46,0,0,55,20
115,George Bailey,RPS,40,37,10,663,61,24.56,544,121.88,0,2,59,19
116,Evin Lewis,LSG,27,26,2,654,65,27.25,477,137.11,0,4,62,36
117,Chris Morris,RR,81,51,23,618,82*,22.07,398,155.28,0,2,41,35
118,Jason Roy,KKR,21,21,2,614,91*,32.32,443,138.6,0,4,75,21
119,Sam Curran,PBKS,46,36,11,613,55*,24.52,428,143.22,0,3,50,31
120,Piyush Chawla,MI,174,86,34,609,24*,11.71,548,111.13,0,0,55,19
121,Mitchell Marsh,DC,38,32,2,605,89,20.17,483,125.26,0,3,39,35
122,Jesse Ryder,PWI,29,29,1,604,86,21.57,458,131.88,0,4,69,19
123,Riyan Parag,RR,54,44,7,600,56*,16.22,484,123.97,0,2,44,27
124,Sarfaraz Khan,DC,50,37,11,585,67,22.5,448,130.58,0,1,63,14
125,Hashim Amla,PBKS,16,16,3,577,104*,44.38,407,141.77,2,3,60,21
126,Jitesh Sharma,PBKS,26,24,3,543,49*,25.86,341,159.24,0,0,44,33
127,Corey Anderson,RCB,30,29,7,538,95,24.45,423,127.19,0,3,40,31
128,Ravi Bopara,SRH,24,22,4,531,84,29.5,453,117.22,0,3,39,16
129,James Faulkner,GL,59,45,20,527,46,21.08,389,135.48,0,0,36,23
130,Heinrich Klaasen,SRH,19,17,3,514,104,36.71,310,165.81,1,2,37,26
131,Gurkeerat Mann Singh,RCB,39,32,8,511,65,21.29,422,121.09,0,2,55,11
132,Sai Sudharsan,GT,13,13,2,507,96,46.09,370,137.03,0,4,47,15
133,Owais Shah,RR,23,22,7,506,76,33.73,389,130.08,0,4,34,23
134,Paul Valthaty,PBKS,23,23,1,505,120,22.95,418,120.81,1,2,61,20
135,Sam Billings,KKR,30,27,1,503,56,19.35,388,129.64,0,3,40,20
